Estado,Ingresos_personales_2018
"Bell, KY",773229
"Boone, KY",6339008
"Bourbon, KY",941077
"Boyd, KY",1840923
"Boyle, KY",1125122
"Bracken, KY",303589
"Breathitt, KY",428176
"Breckinridge, KY",675033
"Bullitt, KY",3361946
"Butler, KY",431262
"Caldwell, KY",422371
"Calloway, KY",1357838
"Campbell, KY",4502958
"Carlisle, KY",184793
"Carroll, KY",387639
"Carter, KY",824599
"Casey, KY",483956
"Christian, KY",2669655
"Clark, KY",1408857
"Clay, KY",604434
"Clinton, KY",316374
"Crittenden, KY",306579
"Cumberland, KY",226389
"Daviess, KY",4135699
"Edmonson, KY",401297
"Elliott, KY",167509
"Estill, KY",450016
"Fayette, KY",15878753
"Fleming, KY",487813
"Floyd, KY",1292336
"Franklin, KY",2113708
"Fulton, KY",192865
"Gallatin, KY",288622
"Garrard, KY",601614
"Grant, KY",896115
"Graves, KY",1383681
"Grayson, KY",869566
"Green, KY",371899
"Greenup, KY",1446710
"Hancock, KY",321689
"Hardin, KY",4678883
"Harlan, KY",797285
"Harrison, KY",653977
"Hart, KY",615264
"Henderson, KY",1776449
"Henry, KY",608727
"Hickman, KY",185495
"Hopkins, KY",1741671
"Jackson, KY",380747
"Jefferson, KY",39667153
"Jessamine, KY",2386157
"Johnson, KY",738770
"Kenton, KY",9192003
"Knott, KY",458438
