Place,Year,Month,Unemployment Rate
"Walker County, Alabama",2018,April,3.8
"Walker County, Alabama",2018,March,4.3
"Walker County, Alabama",2018,February,4.8
"Walker County, Alabama",2018,January,4.9
"Washington County, Alabama",2018,May,5.1
"Washington County, Alabama",2018,April,4.9
"Washington County, Alabama",2018,March,6.0
"Washington County, Alabama",2018,February,6.2
"Washington County, Alabama",2018,January,6.6
"Wilcox County, Alabama",2018,May,8.3
"Wilcox County, Alabama",2018,April,8.5
"Wilcox County, Alabama",2018,March,9.8
"Wilcox County, Alabama",2018,February,10.6
"Wilcox County, Alabama",2018,January,11.1
"Winston County, Alabama",2018,May,3.5
"Winston County, Alabama",2018,April,3.7
"Winston County, Alabama",2018,March,4.3
"Winston County, Alabama",2018,February,4.8
"Winston County, Alabama",2018,January,4.9
"Aleutians East Borough, Alaska",2018,May,4.5
"Aleutians East Borough, Alaska",2018,April,2.6
"Aleutians East Borough, Alaska",2018,March,1.8
"Aleutians East Borough, Alaska",2018,February,1.9
"Aleutians East Borough, Alaska",2018,January,3.5
"Aleutians West Census Area, Alaska",2018,May,4.7
"Aleutians West Census Area, Alaska",2018,April,2.7
"Aleutians West Census Area, Alaska",2018,March,2.2
"Aleutians West Census Area, Alaska",2018,February,2.2
"Aleutians West Census Area, Alaska",2018,January,2.9
"Anchorage Borough/municipality, Alaska",2018,May,4.8
"Anchorage Borough/municipality, Alaska",2018,April,5.2
"Anchorage Borough/municipality, Alaska",2018,March,5.5
"Anchorage Borough/municipality, Alaska",2018,February,5.8
"Anchorage Borough/municipality, Alaska",2018,January,5.7
"Bethel Census Area, Alaska",2018,May,11.6
"Bethel Census Area, Alaska",2018,April,11.8
"Bethel Census Area, Alaska",2018,March,12.2
"Bethel Census Area, Alaska",2018,February,12.8
"Bethel Census Area, Alaska",2018,January,12.8
"Bristol Bay Borough, Alaska",2018,May,3.8
"Bristol Bay Borough, Alaska",2018,April,7.2
"Bristol Bay Borough, Alaska",2018,March,14.2
"Bristol Bay Borough, Alaska",2018,February,15.0
"Bristol Bay Borough, Alaska",2018,January,15.3
"Denali Borough, Alaska",2018,May,4.3
"Denali Borough, Alaska",2018,April,11.5
"Denali Borough, Alaska",2018,March,15.1
"Denali Borough, Alaska",2018,February,16.8
"Denali Borough, Alaska",2018,January,18.0
"Dillingham Census Area, Alaska",2018,May,7.3
"Dillingham Census Area, Alaska",2018,April,8.4
"Dillingham Census Area, Alaska",2018,March,8.7
"Dillingham Census Area, Alaska",2018,February,9.2
"Dillingham Census Area, Alaska",2018,January,9.2
"Fairbanks North Star Borough, Alaska",2018,May,5.1
"Fairbanks North Star Borough, Alaska",2018,April,5.7
"Fairbanks North Star Borough, Alaska",2018,March,5.9
"Fairbanks North Star Borough, Alaska",2018,February,6.3
"Fairbanks North Star Borough, Alaska",2018,January,6.5
"Haines Borough, Alaska",2018,May,7.1
"Haines Borough, Alaska",2018,April,9.6
"Haines Borough, Alaska",2018,March,13.6
"Haines Borough, Alaska",2018,February,14.9
"Haines Borough, Alaska",2018,January,15.8
"Hoonah-Angoon Census Area, Alaska",2018,May,9.3
"Hoonah-Angoon Census Area, Alaska",2018,April,14.1
"Hoonah-Angoon Census Area, Alaska",2018,March,18.1
"Hoonah-Angoon Census Area, Alaska",2018,February,19.2
"Hoonah-Angoon Census Area, Alaska",2018,January,18.5
"Juneau Borough/city, Alaska",2018,May,3.5
"Juneau Borough/city, Alaska",2018,April,4.1
"Juneau Borough/city, Alaska",2018,March,4.5
"Juneau Borough/city, Alaska",2018,February,4.6
"Juneau Borough/city, Alaska",2018,January,4.8
"Kenai Peninsula Borough, Alaska",2018,May,6.4
"Kenai Peninsula Borough, Alaska",2018,April,7.7
"Kenai Peninsula Borough, Alaska",2018,March,8.7
"Kenai Peninsula Borough, Alaska",2018,February,9.2
"Kenai Peninsula Borough, Alaska",2018,January,9.2
"Ketchikan Gateway Borough, Alaska",2018,May,4.8
"Ketchikan Gateway Borough, Alaska",2018,April,6.0
"Ketchikan Gateway Borough, Alaska",2018,March,6.9
"Ketchikan Gateway Borough, Alaska",2018,February,7.2
"Ketchikan Gateway Borough, Alaska",2018,January,7.7
"Kodiak Island Borough, Alaska",2018,May,4.8
"Kodiak Island Borough, Alaska",2018,April,5.3
"Kodiak Island Borough, Alaska",2018,March,4.4
"Kodiak Island Borough, Alaska",2018,February,4.9
"Kodiak Island Borough, Alaska",2018,January,7.9
"Kusilvak Census Area, Alaska",2018,May,18.5
"Kusilvak Census Area, Alaska",2018,April,18.0
"Kusilvak Census Area, Alaska",2018,March,19.6
"Kusilvak Census Area, Alaska",2018,February,19.8
