state_id,enero_2011,febrero_2011,marzo_2011,abril_2011,mayo_2011,junio_2011,julio_2011,agosto_2011,septiembre_2011,octubre_2011,noviembre_2011,diciembre_2011,enero_2012,febrero_2012,marzo_2012,abril_2012,mayo_2012,junio_2012,julio_2012,agosto_2012,septiembre_2012,octubre_2012,noviembre_2012,diciembre_2012,enero_2013,febrero_2013,marzo_2013,abril_2013,mayo_2013,junio_2013,julio_2013,agosto_2013,septiembre_2013,octubre_2013,noviembre_2013,diciembre_2013,enero_2014,febrero_2014,marzo_2014,abril_2014,mayo_2014,junio_2014,julio_2014,agosto_2014,septiembre_2014,octubre_2014,noviembre_2014,diciembre_2014,enero_2015,febrero_2015,marzo_2015,abril_2015,mayo_2015,junio_2015,julio_2015,agosto_2015,septiembre_2015,octubre_2015,noviembre_2015,diciembre_2015,enero_2016,febrero_2016,marzo_2016,abril_2016,mayo_2016,junio_2016,julio_2016,agosto_2016,septiembre_2016,octubre_2016,noviembre_2016,diciembre_2016
Maine,19795.866666666665,19795.866666666665,19795.866666666665,19738.433333333334,19738.433333333334,19738.433333333334,19709.7,19709.7,19709.7,19995.633333333335,19995.633333333335,19995.633333333335,19833.266666666666,19833.266666666666,19833.266666666666,19947.233333333334,19947.233333333334,19947.233333333334,19752.166666666668,19752.166666666668,19752.166666666668,19376.266666666666,19376.266666666666,19376.266666666666,19745.333333333332,19745.333333333332,19745.333333333332,19555.966666666667,19555.966666666667,19555.966666666667,19648.866666666665,19648.866666666665,19648.866666666665,19735.100000000002,19735.100000000002,19735.100000000002,19626.533333333333,19626.533333333333,19626.533333333333,19761.100000000002,19761.100000000002,19761.100000000002,19948.266666666666,19948.266666666666,19948.266666666666,20117.2,20117.2,20117.2,19909.466666666667,19909.466666666667,19909.466666666667,20163.899999999998,20163.899999999998,20163.899999999998,20248.666666666668,20248.666666666668,20248.666666666668,20428.600000000002,20428.600000000002,20428.600000000002,20500.600000000002,20500.600000000002,20500.600000000002,20717.600000000002,20717.600000000002,20717.600000000002,20674.033333333333,20674.033333333333,20674.033333333333,20823.866666666665,20823.866666666665,20823.866666666665
Maryland,118858.06666666667,118858.06666666667,118858.06666666667,120087.46666666667,120087.46666666667,120087.46666666667,120315.26666666666,120315.26666666666,120315.26666666666,120947.0,120947.0,120947.0,121100.83333333333,121100.83333333333,121100.83333333333,120059.5,120059.5,120059.5,121064.33333333333,121064.33333333333,121064.33333333333,119857.73333333334,119857.73333333334,119857.73333333334,121431.56666666667,121431.56666666667,121431.56666666667,120975.96666666667,120975.96666666667,120975.96666666667,121667.86666666665,121667.86666666665,121667.86666666665,122102.26666666666,122102.26666666666,122102.26666666666,121684.56666666667,121684.56666666667,121684.56666666667,123506.56666666667,123506.56666666667,123506.56666666667,124654.86666666665,124654.86666666665,124654.86666666665,123945.93333333333,123945.93333333333,123945.93333333333,125527.09999999999,125527.09999999999,125527.09999999999,125726.36666666665,125726.36666666665,125726.36666666665,126479.59999999999,126479.59999999999,126479.59999999999,127261.46666666667,127261.46666666667,127261.46666666667,128784.23333333334,128784.23333333334,128784.23333333334,130199.7,130199.7,130199.7,131252.9,131252.9,131252.9,132364.43333333332,132364.43333333332,132364.43333333332
Massachusetts,154360.76666666666,154360.76666666666,154360.76666666666,159231.96666666667,159231.96666666667,159231.96666666667,157060.19999999998,157060.19999999998,157060.19999999998,159566.06666666668,159566.06666666668,159566.06666666668,159955.30000000002,159955.30000000002,159955.30000000002,161479.46666666667,161479.46666666667,161479.46666666667,161860.16666666666,161860.16666666666,161860.16666666666,161086.83333333334,161086.83333333334,161086.83333333334,161380.0,161380.0,161380.0,161484.06666666668,161484.06666666668,161484.06666666668,162929.9,162929.9,162929.9,163528.4,163528.4,163528.4,162467.03333333333,162467.03333333333,162467.03333333333,163873.13333333333,163873.13333333333,163873.13333333333,166506.56666666668,166506.56666666668,166506.56666666668,168821.16666666666,168821.16666666666,168821.16666666666,169815.93333333332,169815.93333333332,169815.93333333332,171686.23333333334,171686.23333333334,171686.23333333334,171334.69999999998,171334.69999999998,171334.69999999998,173028.13333333333,173028.13333333333,173028.13333333333,172478.83333333334,172478.83333333334,172478.83333333334,173496.06666666668,173496.06666666668,173496.06666666668,175118.43333333335,175118.43333333335,175118.43333333335,174457.03333333333,174457.03333333333,174457.03333333333
Michigan,150347.1,150347.1,150347.1,149979.33333333334,149979.33333333334,149979.33333333334,150545.4,150545.4,150545.4,154446.93333333332,154446.93333333332,154446.93333333332,154106.66666666666,154106.66666666666,154106.66666666666,154431.0,154431.0,154431.0,154807.96666666667,154807.96666666667,154807.96666666667,154391.13333333333,154391.13333333333,154391.13333333333,157087.1,157087.1,157087.1,157016.63333333333,157016.63333333333,157016.63333333333,157938.86666666667,157938.86666666667,157938.86666666667,158330.56666666668,158330.56666666668,158330.56666666668,157589.06666666668,157589.06666666668,157589.06666666668,159927.9,159927.9,159927.9,161096.23333333334,161096.23333333334,161096.23333333334,160766.69999999998,160766.69999999998,160766.69999999998,161958.26666666666,161958.26666666666,161958.26666666666,163476.46666666667,163476.46666666667,163476.46666666667,164267.80000000002,164267.80000000002,164267.80000000002,164455.73333333334,164455.73333333334,164455.73333333334,164678.56666666668,164678.56666666668,164678.56666666668,166961.80000000002,166961.80000000002,166961.80000000002,167076.16666666666,167076.16666666666,167076.16666666666,168162.86666666667,168162.86666666667,168162.86666666667
Mideast,1069110.2,1069110.2,1069110.2,1070647.0,1070647.0,1070647.0,1071369.7666666666,1071369.7666666666,1071369.7666666666,1081548.3666666667,1081548.3666666667,1081548.3666666667,1091087.9666666666,1091087.9666666666,1091087.9666666666,1098492.7333333334,1098492.7333333334,1098492.7333333334,1106330.9000000001,1106330.9000000001,1106330.9000000001,1105813.7666666666,1105813.7666666666,1105813.7666666666,1104817.2,1104817.2,1104817.2,1107427.7,1107427.7,1107427.7,1111653.0666666667,1111653.0666666667,1111653.0666666667,1122114.3666666667,1122114.3666666667,1122114.3666666667,1115967.8333333333,1115967.8333333333,1115967.8333333333,1126810.8,1126810.8,1126810.8,1139084.0,1139084.0,1139084.0,1145967.8666666667,1145967.8666666667,1145967.8666666667,1148808.7,1148808.7,1148808.7,1158283.4000000001,1158283.4000000001,1158283.4000000001,1159041.2666666666,1159041.2666666666,1159041.2666666666,1154387.9666666666,1154387.9666666666,1154387.9666666666,1169050.8666666667,1169050.8666666667,1169050.8666666667,1171792.4000000001,1171792.4000000001,1171792.4000000001,1172537.1666666667,1172537.1666666667,1172537.1666666667,1178065.5999999999,1178065.5999999999,1178065.5999999999
Minnesota,103942.5,103942.5,103942.5,105781.26666666666,105781.26666666666,105781.26666666666,105001.59999999999,105001.59999999999,105001.59999999999,105559.06666666667,105559.06666666667,105559.06666666667,106897.06666666667,106897.06666666667,106897.06666666667,106886.83333333333,106886.83333333333,106886.83333333333,107365.33333333333,107365.33333333333,107365.33333333333,106922.53333333333,106922.53333333333,106922.53333333333,108236.66666666667,108236.66666666667,108236.66666666667,109060.0,109060.0,109060.0,111033.73333333334,111033.73333333334,111033.73333333334,111368.93333333333,111368.93333333333,111368.93333333333,110808.2,110808.2,110808.2,112662.40000000001,112662.40000000001,112662.40000000001,114214.0,114214.0,114214.0,113813.93333333333,113813.93333333333,113813.93333333333,115120.59999999999,115120.59999999999,115120.59999999999,114665.40000000001,114665.40000000001,114665.40000000001,115110.36666666665,115110.36666666665,115110.36666666665,115711.96666666667,115711.96666666667,115711.96666666667,115533.66666666667,115533.66666666667,115533.66666666667,116002.03333333333,116002.03333333333,116002.03333333333,117985.26666666666,117985.26666666666,117985.26666666666,117950.5,117950.5,117950.5
Mississippi,35260.799999999996,35260.799999999996,35260.799999999996,35353.566666666666,35353.566666666666,35353.566666666666,35434.5,35434.5,35434.5,35939.23333333333,35939.23333333333,35939.23333333333,36587.833333333336,36587.833333333336,36587.833333333336,36513.6,36513.6,36513.6,36167.4,36167.4,36167.4,35593.1,35593.1,35593.1,36475.200000000004,36475.200000000004,36475.200000000004,35982.200000000004,35982.200000000004,35982.200000000004,36710.26666666667,36710.26666666667,36710.26666666667,36209.23333333333,36209.23333333333,36209.23333333333,36003.166666666664,36003.166666666664,36003.166666666664,36667.933333333334,36667.933333333334,36667.933333333334,36526.066666666666,36526.066666666666,36526.066666666666,36535.6,36535.6,36535.6,36268.76666666667,36268.76666666667,36268.76666666667,36476.26666666667,36476.26666666667,36476.26666666667,36594.26666666667,36594.26666666667,36594.26666666667,36529.63333333333,36529.63333333333,36529.63333333333,36794.166666666664,36794.166666666664,36794.166666666664,36624.333333333336,36624.333333333336,36624.333333333336,36530.13333333333,36530.13333333333,36530.13333333333,36599.4,36599.4,36599.4
Missouri,97228.8,97228.8,97228.8,97543.66666666667,97543.66666666667,97543.66666666667,97492.0,97492.0,97492.0,98381.2,98381.2,98381.2,99058.06666666667,99058.06666666667,99058.06666666667,99043.40000000001,99043.40000000001,99043.40000000001,98587.5,98587.5,98587.5,98663.40000000001,98663.40000000001,98663.40000000001,100654.16666666667,100654.16666666667,100654.16666666667,100521.43333333333,100521.43333333333,100521.43333333333,100721.96666666667,100721.96666666667,100721.96666666667,100803.3,100803.3,100803.3,99697.06666666667,99697.06666666667,99697.06666666667,100812.53333333333,100812.53333333333,100812.53333333333,101889.93333333333,101889.93333333333,101889.93333333333,102424.26666666666,102424.26666666666,102424.26666666666,102476.73333333334,102476.73333333334,102476.73333333334,102921.36666666665,102921.36666666665,102921.36666666665,103081.93333333333,103081.93333333333,103081.93333333333,102199.86666666665,102199.86666666665,102199.86666666665,102764.59999999999,102764.59999999999,102764.59999999999,102482.26666666666,102482.26666666666,102482.26666666666,102566.16666666667,102566.16666666667,102566.16666666667,103418.03333333333,103418.03333333333,103418.03333333333
Montana,14418.5,14418.5,14418.5,14433.6,14433.6,14433.6,14438.0,14438.0,14438.0,14752.800000000001,14752.800000000001,14752.800000000001,14808.933333333334,14808.933333333334,14808.933333333334,14725.966666666667,14725.966666666667,14725.966666666667,14791.766666666668,14791.766666666668,14791.766666666668,14778.766666666668,14778.766666666668,14778.766666666668,14971.633333333333,14971.633333333333,14971.633333333333,14995.966666666667,14995.966666666667,14995.966666666667,15063.533333333333,15063.533333333333,15063.533333333333,15121.800000000001,15121.800000000001,15121.800000000001,15160.1,15160.1,15160.1,15337.800000000001,15337.800000000001,15337.800000000001,15456.333333333334,15456.333333333334,15456.333333333334,15601.333333333334,15601.333333333334,15601.333333333334,15903.266666666668,15903.266666666668,15903.266666666668,15968.266666666668,15968.266666666668,15968.266666666668,16030.1,16030.1,16030.1,15785.833333333334,15785.833333333334,15785.833333333334,15692.966666666667,15692.966666666667,15692.966666666667,15538.666666666666,15538.666666666666,15538.666666666666,15696.266666666668,15696.266666666668,15696.266666666668,15991.6,15991.6,15991.6
Nebraska,36513.53333333333,36513.53333333333,36513.53333333333,36403.1,36403.1,36403.1,36296.6,36296.6,36296.6,37099.03333333333,37099.03333333333,37099.03333333333,36503.4,36503.4,36503.4,36827.200000000004,36827.200000000004,36827.200000000004,36438.700000000004,36438.700000000004,36438.700000000004,36479.1,36479.1,36479.1,37139.799999999996,37139.799999999996,37139.799999999996,37029.6,37029.6,37029.6,37267.23333333333,37267.23333333333,37267.23333333333,37073.0,37073.0,37073.0,38000.36666666667,38000.36666666667,38000.36666666667,38649.566666666666,38649.566666666666,38649.566666666666,38645.86666666667,38645.86666666667,38645.86666666667,38906.76666666667,38906.76666666667,38906.76666666667,39469.86666666667,39469.86666666667,39469.86666666667,39911.63333333333,39911.63333333333,39911.63333333333,40068.46666666667,40068.46666666667,40068.46666666667,40071.166666666664,40071.166666666664,40071.166666666664,39788.63333333333,39788.63333333333,39788.63333333333,40075.23333333333,40075.23333333333,40075.23333333333,40648.700000000004,40648.700000000004,40648.700000000004,41224.9,41224.9,41224.9
Nevada,47667.06666666667,47667.06666666667,47667.06666666667,48567.666666666664,48567.666666666664,48567.666666666664,48136.666666666664,48136.666666666664,48136.666666666664,48083.53333333333,48083.53333333333,48083.53333333333,47954.9,47954.9,47954.9,47746.299999999996,47746.299999999996,47746.299999999996,47644.86666666667,47644.86666666667,47644.86666666667,47302.03333333333,47302.03333333333,47302.03333333333,48055.86666666667,48055.86666666667,48055.86666666667,47828.26666666666,47828.26666666666,47828.26666666666,48155.9,48155.9,48155.9,48692.333333333336,48692.333333333336,48692.333333333336,47841.03333333333,47841.03333333333,47841.03333333333,48123.76666666666,48123.76666666666,48123.76666666666,48591.96666666667,48591.96666666667,48591.96666666667,49181.333333333336,49181.333333333336,49181.333333333336,49471.63333333333,49471.63333333333,49471.63333333333,50231.333333333336,50231.333333333336,50231.333333333336,50581.1,50581.1,50581.1,51123.76666666666,51123.76666666666,51123.76666666666,51070.56666666667,51070.56666666667,51070.56666666667,51406.43333333333,51406.43333333333,51406.43333333333,52757.5,52757.5,52757.5,52775.36666666667,52775.36666666667,52775.36666666667
New England,313613.8,313613.8,313613.8,320382.8,320382.8,320382.8,317485.10000000003,317485.10000000003,317485.10000000003,321578.2,321578.2,321578.2,321660.5,321660.5,321660.5,323714.3333333333,323714.3333333333,323714.3333333333,323618.39999999997,323618.39999999997,323618.39999999997,322446.86666666664,322446.86666666664,322446.86666666664,322386.86666666664,322386.86666666664,322386.86666666664,321420.1666666667,321420.1666666667,321420.1666666667,323716.6666666667,323716.6666666667,323716.6666666667,324431.8,324431.8,324431.8,321821.36666666664,321821.36666666664,321821.36666666664,325275.89999999997,325275.89999999997,325275.89999999997,329335.93333333335,329335.93333333335,329335.93333333335,333895.0333333333,333895.0333333333,333895.0333333333,335053.2,335053.2,335053.2,338359.3,338359.3,338359.3,337725.63333333336,337725.63333333336,337725.63333333336,340311.8333333333,340311.8333333333,340311.8333333333,339077.8,339077.8,339077.8,340477.43333333335,340477.43333333335,340477.43333333335,342635.0333333333,342635.0333333333,342635.0333333333,342575.39999999997,342575.39999999997,342575.39999999997
New Hampshire,24124.233333333334,24124.233333333334,24124.233333333334,24562.3,24562.3,24562.3,24438.13333333333,24438.13333333333,24438.13333333333,24828.63333333333,24828.63333333333,24828.63333333333,24465.833333333332,24465.833333333332,24465.833333333332,24568.066666666666,24568.066666666666,24568.066666666666,24746.600000000002,24746.600000000002,24746.600000000002,24996.566666666666,24996.566666666666,24996.566666666666,25059.033333333336,25059.033333333336,25059.033333333336,25076.3,25076.3,25076.3,25231.399999999998,25231.399999999998,25231.399999999998,25304.5,25304.5,25304.5,25078.666666666668,25078.666666666668,25078.666666666668,25680.566666666666,25680.566666666666,25680.566666666666,25572.666666666668,25572.666666666668,25572.666666666668,26116.399999999998,26116.399999999998,26116.399999999998,25881.899999999998,25881.899999999998,25881.899999999998,26375.933333333334,26375.933333333334,26375.933333333334,26468.466666666664,26468.466666666664,26468.466666666664,27032.8,27032.8,27032.8,26728.600000000002,26728.600000000002,26728.600000000002,26909.899999999998,26909.899999999998,26909.899999999998,27093.600000000002,27093.600000000002,27093.600000000002,26916.066666666666,26916.066666666666,26916.066666666666
