GeoName,enero_2011,febrero_2011,marzo_2011,abril_2011,mayo_2011,junio_2011,julio_2011,agosto_2011,septiembre_2011,octubre_2011,noviembre_2011,diciembre_2011,enero_2012,febrero_2012,marzo_2012,abril_2012,mayo_2012,junio_2012,julio_2012,agosto_2012,septiembre_2012,octubre_2012,noviembre_2012,diciembre_2012,enero_2013,febrero_2013,marzo_2013,abril_2013,mayo_2013,junio_2013,julio_2013,agosto_2013,septiembre_2013,octubre_2013,noviembre_2013,diciembre_2013,enero_2014,febrero_2014,marzo_2014,abril_2014,mayo_2014,junio_2014,julio_2014,agosto_2014,septiembre_2014,octubre_2014,noviembre_2014,diciembre_2014,enero_2015,febrero_2015,marzo_2015,abril_2015,mayo_2015,junio_2015,julio_2015,agosto_2015,septiembre_2015,octubre_2015,noviembre_2015,diciembre_2015,enero_2016,febrero_2016,marzo_2016,abril_2016,mayo_2016,junio_2016,julio_2016,agosto_2016,septiembre_2016,octubre_2016,noviembre_2016,diciembre_2016
Nevada,12755.333333333334,12755.333333333334,12755.333333333334,12877.666666666666,12877.666666666666,12877.666666666666,12924.333333333334,12924.333333333334,12924.333333333334,12844.666666666666,12844.666666666666,12844.666666666666,13125.0,13125.0,13125.0,13139.333333333334,13139.333333333334,13139.333333333334,13104.0,13104.0,13104.0,13524.333333333334,13524.333333333334,13524.333333333334,12966.0,12966.0,12966.0,13075.333333333334,13075.333333333334,13075.333333333334,13144.333333333334,13144.333333333334,13144.333333333334,13222.333333333334,13222.333333333334,13222.333333333334,13368.666666666666,13368.666666666666,13368.666666666666,13612.666666666666,13612.666666666666,13612.666666666666,13771.333333333334,13771.333333333334,13771.333333333334,14047.666666666666,14047.666666666666,14047.666666666666,14427.0,14427.0,14427.0,14599.666666666666,14599.666666666666,14599.666666666666,14616.333333333334,14616.333333333334,14616.333333333334,14739.333333333334,14739.333333333334,14739.333333333334,14680.666666666666,14680.666666666666,14680.666666666666,14787.0,14787.0,14787.0,15164.666666666666,15164.666666666666,15164.666666666666,14970.666666666666,14970.666666666666,14970.666666666666
New England,17642.666666666668,17642.666666666668,17642.666666666668,17948.0,17948.0,17948.0,17950.333333333332,17950.333333333332,17950.333333333332,17950.0,17950.0,17950.0,18098.333333333332,18098.333333333332,18098.333333333332,18242.666666666668,18242.666666666668,18242.666666666668,18075.0,18075.0,18075.0,18624.333333333332,18624.333333333332,18624.333333333332,17991.0,17991.0,17991.0,18086.333333333332,18086.333333333332,18086.333333333332,18138.333333333332,18138.333333333332,18138.333333333332,18198.666666666668,18198.666666666668,18198.666666666668,18415.666666666668,18415.666666666668,18415.666666666668,18606.333333333332,18606.333333333332,18606.333333333332,18846.0,18846.0,18846.0,19175.0,19175.0,19175.0,19313.333333333332,19313.333333333332,19313.333333333332,19546.666666666668,19546.666666666668,19546.666666666668,19649.666666666668,19649.666666666668,19649.666666666668,19859.0,19859.0,19859.0,19904.666666666668,19904.666666666668,19904.666666666668,20035.333333333332,20035.333333333332,20035.333333333332,20204.0,20204.0,20204.0,20261.666666666668,20261.666666666668,20261.666666666668
New Hampshire,16156.333333333334,16156.333333333334,16156.333333333334,16400.0,16400.0,16400.0,16433.0,16433.0,16433.0,16449.0,16449.0,16449.0,16777.666666666668,16777.666666666668,16777.666666666668,16848.0,16848.0,16848.0,16805.333333333332,16805.333333333332,16805.333333333332,17189.0,17189.0,17189.0,16702.333333333332,16702.333333333332,16702.333333333332,16816.333333333332,16816.333333333332,16816.333333333332,16821.333333333332,16821.333333333332,16821.333333333332,16856.666666666668,16856.666666666668,16856.666666666668,17061.0,17061.0,17061.0,17276.333333333332,17276.333333333332,17276.333333333332,17319.666666666668,17319.666666666668,17319.666666666668,17673.333333333332,17673.333333333332,17673.333333333332,17678.666666666668,17678.666666666668,17678.666666666668,17999.666666666668,17999.666666666668,17999.666666666668,18085.666666666668,18085.666666666668,18085.666666666668,18421.0,18421.0,18421.0,18335.0,18335.0,18335.0,18512.0,18512.0,18512.0,18687.666666666668,18687.666666666668,18687.666666666668,18688.333333333332,18688.333333333332,18688.333333333332
New Jersey,17451.0,17451.0,17451.0,17573.0,17573.0,17573.0,17703.666666666668,17703.666666666668,17703.666666666668,17745.333333333332,17745.333333333332,17745.333333333332,17965.333333333332,17965.333333333332,17965.333333333332,17991.666666666668,17991.666666666668,17991.666666666668,17953.333333333332,17953.333333333332,17953.333333333332,18391.333333333332,18391.333333333332,18391.333333333332,17981.666666666668,17981.666666666668,17981.666666666668,18108.666666666668,18108.666666666668,18108.666666666668,18123.666666666668,18123.666666666668,18123.666666666668,18263.333333333332,18263.333333333332,18263.333333333332,18488.666666666668,18488.666666666668,18488.666666666668,18685.666666666668,18685.666666666668,18685.666666666668,18870.333333333332,18870.333333333332,18870.333333333332,19101.0,19101.0,19101.0,19300.0,19300.0,19300.0,19439.333333333332,19439.333333333332,19439.333333333332,19549.666666666668,19549.666666666668,19549.666666666668,19574.333333333332,19574.333333333332,19574.333333333332,19791.333333333332,19791.333333333332,19791.333333333332,19821.0,19821.0,19821.0,19952.0,19952.0,19952.0,20111.0,20111.0,20111.0
New Mexico,11605.666666666666,11605.666666666666,11605.666666666666,11670.333333333334,11670.333333333334,11670.333333333334,11732.0,11732.0,11732.0,11765.666666666666,11765.666666666666,11765.666666666666,11918.666666666666,11918.666666666666,11918.666666666666,11988.666666666666,11988.666666666666,11988.666666666666,11822.0,11822.0,11822.0,11856.333333333334,11856.333333333334,11856.333333333334,11576.333333333334,11576.333333333334,11576.333333333334,11621.0,11621.0,11621.0,11613.0,11613.0,11613.0,11677.333333333334,11677.333333333334,11677.333333333334,12013.666666666666,12013.666666666666,12013.666666666666,12213.0,12213.0,12213.0,12373.333333333334,12373.333333333334,12373.333333333334,12552.666666666666,12552.666666666666,12552.666666666666,12488.666666666666,12488.666666666666,12488.666666666666,12590.333333333334,12590.333333333334,12590.333333333334,12583.666666666666,12583.666666666666,12583.666666666666,12654.666666666666,12654.666666666666,12654.666666666666,12714.0,12714.0,12714.0,12843.333333333334,12843.333333333334,12843.333333333334,12857.333333333334,12857.333333333334,12857.333333333334,12878.333333333334,12878.333333333334,12878.333333333334
New York,16951.0,16951.0,16951.0,16879.666666666668,16879.666666666668,16879.666666666668,16946.333333333332,16946.333333333332,16946.333333333332,16919.666666666668,16919.666666666668,16919.666666666668,17259.0,17259.0,17259.0,17463.666666666668,17463.666666666668,17463.666666666668,17381.666666666668,17381.666666666668,17381.666666666668,18054.333333333332,18054.333333333332,18054.333333333332,17436.666666666668,17436.666666666668,17436.666666666668,17626.666666666668,17626.666666666668,17626.666666666668,17679.333333333332,17679.333333333332,17679.333333333332,17755.0,17755.0,17755.0,17865.0,17865.0,17865.0,18000.0,18000.0,18000.0,18257.0,18257.0,18257.0,18533.666666666668,18533.666666666668,18533.666666666668,18589.333333333332,18589.333333333332,18589.333333333332,18857.333333333332,18857.333333333332,18857.333333333332,19023.333333333332,19023.333333333332,19023.333333333332,19005.0,19005.0,19005.0,19300.0,19300.0,19300.0,19340.666666666668,19340.666666666668,19340.666666666668,19457.333333333332,19457.333333333332,19457.333333333332,19766.0,19766.0,19766.0
North Carolina,12197.333333333334,12197.333333333334,12197.333333333334,12250.666666666666,12250.666666666666,12250.666666666666,12295.0,12295.0,12295.0,12340.333333333334,12340.333333333334,12340.333333333334,12832.333333333334,12832.333333333334,12832.333333333334,12949.333333333334,12949.333333333334,12949.333333333334,12910.666666666666,12910.666666666666,12910.666666666666,13130.333333333334,13130.333333333334,13130.333333333334,12670.333333333334,12670.333333333334,12670.333333333334,12659.333333333334,12659.333333333334,12659.333333333334,12681.0,12681.0,12681.0,12749.666666666666,12749.666666666666,12749.666666666666,13013.0,13013.0,13013.0,13214.666666666666,13214.666666666666,13214.666666666666,13389.0,13389.0,13389.0,13538.666666666666,13538.666666666666,13538.666666666666,13741.0,13741.0,13741.0,13826.0,13826.0,13826.0,13930.666666666666,13930.666666666666,13930.666666666666,13985.666666666666,13985.666666666666,13985.666666666666,14104.0,14104.0,14104.0,14113.666666666666,14113.666666666666,14113.666666666666,14207.0,14207.0,14207.0,14367.333333333334,14367.333333333334,14367.333333333334
North Dakota,15746.333333333334,15746.333333333334,15746.333333333334,15989.0,15989.0,15989.0,16437.0,16437.0,16437.0,16904.0,16904.0,16904.0,17990.0,17990.0,17990.0,18503.666666666668,18503.666666666668,18503.666666666668,18699.0,18699.0,18699.0,19462.666666666668,19462.666666666668,19462.666666666668,17921.333333333332,17921.333333333332,17921.333333333332,18167.333333333332,18167.333333333332,18167.333333333332,18283.333333333332,18283.333333333332,18283.333333333332,18134.666666666668,18134.666666666668,18134.666666666668,18491.333333333332,18491.333333333332,18491.333333333332,19011.666666666668,19011.666666666668,19011.666666666668,18949.666666666668,18949.666666666668,18949.666666666668,19045.666666666668,19045.666666666668,19045.666666666668,18143.666666666668,18143.666666666668,18143.666666666668,17683.0,17683.0,17683.0,17496.666666666668,17496.666666666668,17496.666666666668,17491.666666666668,17491.666666666668,17491.666666666668,17038.333333333332,17038.333333333332,17038.333333333332,17015.333333333332,17015.333333333332,17015.333333333332,17184.666666666668,17184.666666666668,17184.666666666668,17152.666666666668,17152.666666666668,17152.666666666668
Ohio,12784.333333333334,12784.333333333334,12784.333333333334,12886.666666666666,12886.666666666666,12886.666666666666,13067.333333333334,13067.333333333334,13067.333333333334,13159.0,13159.0,13159.0,13262.0,13262.0,13262.0,13403.666666666666,13403.666666666666,13403.666666666666,13338.0,13338.0,13338.0,13677.666666666666,13677.666666666666,13677.666666666666,13477.0,13477.0,13477.0,13588.333333333334,13588.333333333334,13588.333333333334,13618.666666666666,13618.666666666666,13618.666666666666,13646.333333333334,13646.333333333334,13646.333333333334,13867.333333333334,13867.333333333334,13867.333333333334,14015.0,14015.0,14015.0,14166.333333333334,14166.333333333334,14166.333333333334,14316.0,14316.0,14316.0,14433.666666666666,14433.666666666666,14433.666666666666,14567.333333333334,14567.333333333334,14567.333333333334,14641.666666666666,14641.666666666666,14641.666666666666,14746.666666666666,14746.666666666666,14746.666666666666,14744.333333333334,14744.333333333334,14744.333333333334,14807.0,14807.0,14807.0,14861.333333333334,14861.333333333334,14861.333333333334,15006.0,15006.0,15006.0
Oklahoma,12896.666666666666,12896.666666666666,12896.666666666666,13153.666666666666,13153.666666666666,13153.666666666666,13378.0,13378.0,13378.0,13485.333333333334,13485.333333333334,13485.333333333334,13802.0,13802.0,13802.0,13891.666666666666,13891.666666666666,13891.666666666666,13850.0,13850.0,13850.0,14310.0,14310.0,14310.0,14336.0,14336.0,14336.0,14538.666666666666,14538.666666666666,14538.666666666666,14602.666666666666,14602.666666666666,14602.666666666666,14673.666666666666,14673.666666666666,14673.666666666666,15080.666666666666,15080.666666666666,15080.666666666666,15282.666666666666,15282.666666666666,15282.666666666666,15401.333333333334,15401.333333333334,15401.333333333334,15389.333333333334,15389.333333333334,15389.333333333334,14955.0,14955.0,14955.0,14752.0,14752.0,14752.0,14750.666666666666,14750.666666666666,14750.666666666666,14598.666666666666,14598.666666666666,14598.666666666666,14051.333333333334,14051.333333333334,14051.333333333334,13992.333333333334,13992.333333333334,13992.333333333334,13993.666666666666,13993.666666666666,13993.666666666666,14047.666666666666,14047.666666666666,14047.666666666666
Oregon,12443.333333333334,12443.333333333334,12443.333333333334,12477.0,12477.0,12477.0,12496.0,12496.0,12496.0,12630.666666666666,12630.666666666666,12630.666666666666,12952.0,12952.0,12952.0,13020.666666666666,13020.666666666666,13020.666666666666,12967.333333333334,12967.333333333334,12967.333333333334,13225.666666666666,13225.666666666666,13225.666666666666,13009.333333333334,13009.333333333334,13009.333333333334,13122.666666666666,13122.666666666666,13122.666666666666,13199.666666666666,13199.666666666666,13199.666666666666,13246.666666666666,13246.666666666666,13246.666666666666,13534.333333333334,13534.333333333334,13534.333333333334,13796.666666666666,13796.666666666666,13796.666666666666,13998.666666666666,13998.666666666666,13998.666666666666,14173.666666666666,14173.666666666666,14173.666666666666,14540.333333333334,14540.333333333334,14540.333333333334,14634.666666666666,14634.666666666666,14634.666666666666,14824.666666666666,14824.666666666666,14824.666666666666,14837.666666666666,14837.666666666666,14837.666666666666,15093.0,15093.0,15093.0,15100.333333333334,15100.333333333334,15100.333333333334,15153.0,15153.0,15153.0,15305.0,15305.0,15305.0
Pennsylvania,14513.333333333334,14513.333333333334,14513.333333333334,14667.0,14667.0,14667.0,14806.0,14806.0,14806.0,14838.0,14838.0,14838.0,15072.0,15072.0,15072.0,15152.666666666666,15152.666666666666,15152.666666666666,15140.0,15140.0,15140.0,15478.666666666666,15478.666666666666,15478.666666666666,15155.0,15155.0,15155.0,15322.333333333334,15322.333333333334,15322.333333333334,15332.333333333334,15332.333333333334,15332.333333333334,15383.666666666666,15383.666666666666,15383.666666666666,15567.333333333334,15567.333333333334,15567.333333333334,15742.333333333334,15742.333333333334,15742.333333333334,15895.666666666666,15895.666666666666,15895.666666666666,16080.666666666666,16080.666666666666,16080.666666666666,16243.333333333334,16243.333333333334,16243.333333333334,16361.333333333334,16361.333333333334,16361.333333333334,16491.0,16491.0,16491.0,16615.0,16615.0,16615.0,16680.333333333332,16680.333333333332,16680.333333333332,16760.333333333332,16760.333333333332,16760.333333333332,16947.0,16947.0,16947.0,17026.333333333332,17026.333333333332,17026.333333333332
Plains,13928.0,13928.0,13928.0,14049.0,14049.0,14049.0,14216.666666666666,14216.666666666666,14216.666666666666,14296.0,14296.0,14296.0,14615.666666666666,14615.666666666666,14615.666666666666,14740.333333333334,14740.333333333334,14740.333333333334,14605.333333333334,14605.333333333334,14605.333333333334,15076.0,15076.0,15076.0,14718.333333333334,14718.333333333334,14718.333333333334,14808.333333333334,14808.333333333334,14808.333333333334,14864.0,14864.0,14864.0,14831.666666666666,14831.666666666666,14831.666666666666,14988.666666666666,14988.666666666666,14988.666666666666,15276.666666666666,15276.666666666666,15276.666666666666,15393.666666666666,15393.666666666666,15393.666666666666,15542.666666666666,15542.666666666666,15542.666666666666,15623.0,15623.0,15623.0,15664.0,15664.0,15664.0,15747.0,15747.0,15747.0,15783.666666666666,15783.666666666666,15783.666666666666,15744.0,15744.0,15744.0,15766.333333333334,15766.333333333334,15766.333333333334,15885.0,15885.0,15885.0,15950.333333333334,15950.333333333334,15950.333333333334
Rhode Island,14497.666666666666,14497.666666666666,14497.666666666666,14758.0,14758.0,14758.0,14762.666666666666,14762.666666666666,14762.666666666666,14758.666666666666,14758.666666666666,14758.666666666666,15055.666666666666,15055.666666666666,15055.666666666666,15088.333333333334,15088.333333333334,15088.333333333334,15024.666666666666,15024.666666666666,15024.666666666666,15220.666666666666,15220.666666666666,15220.666666666666,14957.333333333334,14957.333333333334,14957.333333333334,14990.333333333334,14990.333333333334,14990.333333333334,15073.333333333334,15073.333333333334,15073.333333333334,15107.333333333334,15107.333333333334,15107.333333333334,15357.0,15357.0,15357.0,15430.666666666666,15430.666666666666,15430.666666666666,15573.333333333334,15573.333333333334,15573.333333333334,15804.0,15804.0,15804.0,15860.333333333334,15860.333333333334,15860.333333333334,16016.333333333334,16016.333333333334,16016.333333333334,16053.0,16053.0,16053.0,16122.333333333334,16122.333333333334,16122.333333333334,16032.666666666666,16032.666666666666,16032.666666666666,16113.666666666666,16113.666666666666,16113.666666666666,16280.666666666666,16280.666666666666,16280.666666666666,16268.0,16268.0,16268.0
Rocky Mountain,13051.666666666666,13051.666666666666,13051.666666666666,13156.333333333334,13156.333333333334,13156.333333333334,13298.333333333334,13298.333333333334,13298.333333333334,13342.333333333334,13342.333333333334,13342.333333333334,13621.333333333334,13621.333333333334,13621.333333333334,13727.0,13727.0,13727.0,13627.333333333334,13627.333333333334,13627.333333333334,14202.666666666666,14202.666666666666,14202.666666666666,13914.333333333334,13914.333333333334,13914.333333333334,14083.333333333334,14083.333333333334,14083.333333333334,14190.666666666666,14190.666666666666,14190.666666666666,14253.333333333334,14253.333333333334,14253.333333333334,14600.666666666666,14600.666666666666,14600.666666666666,14836.666666666666,14836.666666666666,14836.666666666666,14963.333333333334,14963.333333333334,14963.333333333334,15178.0,15178.0,15178.0,15316.666666666666,15316.666666666666,15316.666666666666,15397.333333333334,15397.333333333334,15397.333333333334,15417.666666666666,15417.666666666666,15417.666666666666,15410.333333333334,15410.333333333334,15410.333333333334,15365.0,15365.0,15365.0,15400.333333333334,15400.333333333334,15400.333333333334,15522.666666666666,15522.666666666666,15522.666666666666,15681.333333333334,15681.333333333334,15681.333333333334
